timeTriInsertion;timeTriBulle;timeTriFusion;timeTriRapide;mode;moyenne;effectif;ecartType;mediane;variance
334300;260900;75700;104500;2;5.21;100;2.895841846510269;5.0;8.385900000000003
7244700;8020600;415300;1438500;6;5.47;1000;2.8479992977527195;6.0;8.111099999999983
2106300;2414500;127300;289900;6;5.612;1500;2.8579927688268483;6.0;8.168122666666555
3700700;5715200;194700;658600;5;5.561;2000;2.827061902399743;6.0;7.992279000000055
5847100;8179900;179100;167500;4;5.5228;2500;2.87441822983365;5.0;8.262280160000012
8406300;13575200;176300;946400;4;5.535;3000;2.8652123248839354;5.0;8.209441666666805
13250400;16935900;280500;1800;6;5.554857142857143;3500;2.837829524154668;6.0;8.053276408163908
13335100;19466400;186500;2100;9;5.516;4000;2.877193771715716;6.0;8.278243999999708
24632200;35287300;305900;1700;9;5.474;5000;2.8761995758292334;5.0;8.272524000000262
48782900;58443100;390200;8290500;7;5.442857142857143;7000;2.8848655045931952;5.0;8.322448979591751
69639900;87509400;532900;18009600;5;5.480222222222222;9000;2.8768516656533993;5.0;8.27627550617274
54264900;82230600;319800;4329100;5;5.545111111111111;9000;2.857265298787355;6.0;8.163964987654392
81653600;121429700;565300;13015800;3;5.447818181818182;11000;2.895420328040966;5.0;8.383458876032856
155318300;215715200;665500;18482000;5;5.479866666666667;15000;2.856267024554232;5.0;8.158261315555885
672788900;881766700;1725300;193870900;5;5.5098;30000;2.859318792999763;6.0;8.175703960001622
1907405600;2458244600;2616400;161593700;10;5.49478;50000;2.8852890239278124;5.0;8.324892751598309
4297150000;5559736500;4674200;897566700;8;5.504533333333334;75000;2.8673482724550596;6.0;8.221686115551016
7565313500;9900698600;5441400;2937053600;4;5.47655;100000;2.8769132933577604;5.0;8.276630097498595
