timeTriInsertion;timeTriBulle;timeTriFusion;timeTriRapide;mode;moyenne;effectif;ecartType;mediane;variance
1100;24100;5300;6800;213;5027.95;100;2734.388265682107;4983.0;7476879.1875
8600;3269700;62000;932900;4;4817.151;1000;2892.9804562421455;4650.0;8369335.920199012
8000;4755100;61200;2251800;6;5028.6866666666665;1500;2886.3348196554684;5184.0;8330928.691155566
10400;8671100;84000;298800;108;4987.2575;2000;2878.572383351467;5027.0;8286178.966193747
13100;13369700;109800;10600;110;5034.156;2500;2893.0211720732345;5110.5;8369571.5020639915
16000;19039700;141700;802100;56;4947.892;3000;2880.3810485771955;4949.0;8296594.985002666
19200;26707300;171000;2376200;106;5001.208571428571;3500;2890.98509823421;4977.0;8357794.838212264
34500;44737900;298600;9455100;100;4985.0325;4000;2878.8746431450827;5010.5;8287919.210943728
29800;55922100;256100;41381100;14;5023.8158;5000;2871.4978693828684;5028.5;8245500.013870353
43300;123935100;390200;1080900;62;4989.193;7000;2881.9634324600142;5020.0;8305713.226036706
58800;383465300;523100;129344000;86;5058.213555555555;9000;2876.5658623424656;5073.5;8274631.160394054
59100;240405500;546900;3853400;21;4939.605888888889;9000;2878.0088691294072;4897.0;8282935.050787529
72300;387712300;666700;208015300;5;5028.098272727273;11000;2882.39523683733;5078.5;8308202.301342527
105500;713456400;976800;100785400;109;5017.909266666667;15000;2884.004691275794;4979.0;8317483.059300787
219700;3035329500;2100200;45275800;38;4984.231133333334;30000;2895.3044011946927;4990.0;8382787.575577359
370500;6987859800;3821400;1008942200;14;5007.05504;50000;2884.798587605485;4990.0;8322062.8910506
605000;16078288200;8117200;2150799300;46;5007.181506666667;75000;2890.1778974177337;5020.0;8353128.278721992
777600;34066100600;8748700;2349032700;2;4992.63701;100000;2885.429990047982;4992.0;8325706.227468298
