timeTriInsertion;timeTriBulle;timeTriFusion;timeTriRapide;mode;moyenne;effectif;ecartType;mediane;variance
1400;394100;6300;1600;3;496.81;100;279.72903656932004;442.5;78248.3339
6600;4287100;49700;2501000;21;508.424;1000;288.2315913011619;520.0;83077.45022400004
8100;7381100;70300;4977000;6;498.4526666666667;1500;281.58622792948455;493.5;79290.80375955564
11600;11214900;104300;8778700;105;501.3035;2000;292.5248560169715;503.0;85570.79138774991
13400;15316900;127800;366500;99;498.372;2500;287.63015282824574;497.0;82731.104816
17500;22687300;167300;390100;58;495.7896666666667;3000;290.2091902287423;497.0;84221.37409322233
19300;24994000;188300;684500;10;499.546;3500;288.27626114743276;505.0;83103.20274114284
22800;31162000;216500;11788400;98;501.047;4000;288.2115625560502;500.0;83065.90479100004
28700;46719900;281800;109900;87;496.4218;5000;286.48597223033414;502.5;82074.21228475978
44200;81544600;419600;6915400;90;498.6842857142857;7000;289.25470740000304;497.0;83668.28575306137
59400;148927000;522800;21288600;112;501.2344444444444;9000;286.97167713948176;505.0;82352.74348024697
56200;107044900;540200;84600;48;498.16544444444446;9000;289.0193916318534;495.0;83532.20873924666
71800;164565600;676200;18216400;88;503.48372727272726;11000;290.5572331489925;509.0;84423.50573519799
99800;284608100;947900;58181800;46;503.9187333333333;15000;287.6232732743687;507.0;82727.1473290622
305800;1876308800;2480400;337597600;14;498.49623333333335;30000;289.20608658730686;498.0;83640.16051914485
405000;4483321900;3703800;476839200;71;495.29576;50000;288.32833493436465;493.0;83133.22872602317
639600;11226453900;6274300;307976700;47;501.47888;75000;289.77867808716803;502.0;83971.68227394657
759600;17523231300;8419100;531360500;124;500.9295;100000;289.2087823869656;501.0;83641.71980975122
