timeTriInsertion;timeTriBulle;timeTriFusion;timeTriRapide;mode;moyenne;effectif;ecartType;mediane;variance
7700;29600;10900;71000;72;456.73;100;281.0217733557312;440.5;78973.23709999997
737300;3074800;115600;255400;9;480.839;1000;287.34362195636083;477.5;82566.35707900001
1525500;5955200;158300;149000;126;505.8953333333333;1500;286.3848326609184;515.0;82016.27237822222
3728200;11190500;252000;238100;59;501.733;2000;290.75809655278726;485.0;84540.27071099996
5994000;16187900;315700;378300;34;499.9372;2500;290.94653195417214;504.5;84649.88445616011
7497400;19815500;351800;271100;77;487.3016666666667;3000;289.7341689616345;479.5;83945.88866388898
11016200;27036600;420000;305000;7;498.2371428571429;3500;291.631606738672;501.0;85048.99404897945
15028700;30929700;494900;355100;115;509.18675;4000;289.83667706906493;508.0;84005.29937443743
26324100;49068700;637700;677900;4;506.7142;5000;287.18262363583085;508.0;82473.85931835926
62443900;82297000;941300;672400;101;504.80642857142857;7000;287.4369696648338;507.0;82620.01153010257
124371000;131359100;1660000;818800;82;504.2775555555556;9000;290.1884427337642;503.0;84209.33229624713
135774700;130582300;1285500;1099400;107;495.37522222222225;9000;289.84098626556437;494.0;84007.79731939506
217709700;177579000;1622800;1074300;90;508.43963636363634;11000;289.71509483355123;514.0;83934.83617441359
455899300;312961000;2710900;1538100;2;498.398;15000;289.15730988973115;496.0;83611.949862666
2333471000;1083107600;5376200;3636100;17;499.4408666666667;30000;288.1132253760337;500.0;83009.2306365812
7158752500;4136809400;10035100;7449900;10;500.75918;50000;288.95325951739767;500.0;83493.98618572857
16707666800;8361983500;15758000;13162500;42;500.24626666666666;75000;288.2621437385215;501.0;83095.06351272803
31026401600;16580682900;24526800;20583700;18;499.63683;100000;288.60594511816583;500.0;83293.39155754975
