timeTriInsertion;timeTriBulle;timeTriFusion;timeTriRapide;mode;moyenne;effectif;ecartType;mediane;variance
11500;14200;5400;2100;6;485.63;100;286.66655385656696;456.5;82177.7131
1373900;1186900;43400;29800;31;514.994;1000;292.27707396236207;532.0;85425.88796400008
2651900;2398200;56600;5950400;52;496.0966666666667;1500;291.37043888417287;501.0;84896.73265555553
4482900;3678100;62600;12028600;48;503.2065;2000;291.3657767441986;502.0;84894.01585775019
7288300;5997500;85800;3608800;42;510.8136;2500;286.3523767232251;520.5;81997.68365503984
11523300;9944000;119100;476900;29;503.549;3000;288.2886220422162;507.0;83110.32959899979
13758200;11570700;128000;39500;48;497.39428571428573;3500;289.66583598825673;491.0;83906.29653877564
17044100;15382400;146800;2386400;24;501.7945;4000;289.8299040295014;503.0;84001.37326975
33302200;23361600;185800;18793700;74;501.3496;5000;285.5751196792889;503.5;81553.14897984017
55609100;67754500;275200;44900;64;506.54814285714286;7000;288.7813863649046;509.0;83394.6891108363
91305500;97382900;364100;136900;23;502.27655555555555;9000;290.7470543756811;503.5;84533.84962813527
92260300;95519400;386300;95100;115;508.95844444444447;9000;289.59744866475546;510.5;83866.68227313568
137235100;147958000;469300;355900;4;503.58590909090907;11000;287.6827834479423;505.0;82761.38389235568
262373700;285260800;673900;27420100;96;499.6367333333333;15000;289.28018477592923;502.0;83683.02530399575
1072590700;1198250200;1543400;54087200;20;496.4567333333333;30000;288.28204706732816;495.0;83106.53866132922
2925648600;3395846700;2741500;115349700;13;500.53482;50000;288.5191575399531;499.0;83243.30426756428
6463702100;7821784300;4430100;142235300;97;501.14684;75000;288.5882979344285;502.0;83283.20570469048
12154313200;14379963900;6586300;82879800;33;499.63654;100000;289.1879254340096;499.0;83629.65621682632
